,Unnamed: 0,Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills,Extracted Skills,Hard Skill,Soft Skill
417,417,SR SECURITY PROFESSIONAL,3689580924,Lumen Technologies,"Singapore, Singapore (On-site)",20,Mid-Senior level,Full-time,Other:Information Technology:Management,Telecommunications,lumen lumen guided belief humanity best technology advances way live work route fiber miles serving customers countries deliver fastest secure global platform applications data help businesses government communities deliver amazing experiences learn lumen’s network edge cloud security communication collaboration solutions purpose human progress technology newslumencom linkedin lumentechnologies twitter lumentechco facebook lumentechnologies instagram lumentechnologies youtube lumentechnologies role position responsible understanding client’s security environment provide security advisory consulting services clients security improvement journey position also work closely sales develop achieve business opportunities main responsibilities perform cyber security assessment provide client’s current security posture cyber security baseline perform security risk assessments provide recommendations measured feasible within client’s risk tolerance appetite level provide cyber security advisory services clients facilitate development implementation control measures meet security strategy roadmap perform isms internal audit draft report clients provide advisory services recommended action plansperform thirdparty vendor risk assessment provide advisory services clients recommended next stepssupport managed security services client engagement analyse event incidents discovered lumen siem platform provide analytics including trends analysis enable clients effective decision making manage client engagement acting connected security’s client engagement officer lumen connected security client includes relationship client profile building expanding footprint within client environment develop manage client security awareness training program look candidate security related qualifications – cism cisspknowledge security frameworks iso nist demonstrated experiences implementing thembusiness acumen ability understand business processes document ability interact internal external customers great communications presentations skills advantageous qualifications skills abilities security related qualifications – cisa iso lead auditor comptia securityproject management related qualifications – prince pmpknowledge risk management frameworks iso nist risk management framework demonstrated experiences implementing expect next requisition applying position may subject background screen criminal records check motor vehicle report andor drug screen depending requirements position information what’s included checks found post offer section faq page jobrelated concerns noted background screen may disqualify new position current role background results evaluated casebycase basis eeo statement committed providing equal employment opportunities persons regardless race color ancestry citizenship national origin religion veteran status disability genetic characteristic information age gender sexual orientation gender identity gender expression marital status family status pregnancy legally protected status collectively “protected statuses” tolerate unlawful discrimination employment decisions including recruiting hiring compensation promotion benefits discipline termination job assignments training disclaimer job definition information designed indicate general nature level work performed employees within classification designed contain interpreted comprehensive inventory duties responsibilities qualifications required employees assigned job job duties responsibilities subject change based changing business needs conditions,28-Sep-2023,Business Process:Cybersecurity:Information Security Management System (ISMS):Risk Assessment:Risk Management Framework (RMF):Security:Security Audits:Security Awareness:Security Risk:Vulnerability Assessment,"Certified Information System Auditor (CISA),Presentations,Communications,Risk Aversion,Security Awareness,Cyber Security,Internal Auditing,Business Process,Cyber Security Assessment,Risk Analysis,Cloud Security,Risk Management Framework,Security Information And Event Management (SIEM),CompTIA Certification,Security Strategies,Consulting,Risk Management,Certified Information Security Manager,Management,Information Security Management Systems,Decision Making,Sales,Auditing","Certified Information System Auditor (CISA),Presentations,Risk Aversion,Security Awareness,Cyber Security,Internal Auditing,Business Process,Cyber Security Assessment,Risk Analysis,Cloud Security,Security Information And Event Management (SIEM),CompTIA Certification,Security Strategies,Consulting,Certified Information Security Manager,Information Security Management Systems,Decision Making,Sales,Auditing","Communications,Risk Management Framework,Risk Management,Management"
419,419,Senior/ Engineer (Transmission Network),3674799953,StarHub,"Singapore, Singapore (On-site)",222,Mid-Senior level,Full-time,Engineering:Information Technology,Telecommunications,job description purpose plan design transmisson carrier ethernet networksplan project manage core access transmission network migration projectsperform improvement optimisation expansion existing new transmission optical networks eg dwdm otnenhance security existing new networks meet imdas requirementstranslate map bau workflow requirements facilitate automation existing new software responsibilities carry existing new network systems planning implementation enhancements within cost timelineperform system tests endtoend integration tests interoperability tests operator customersassign schedule work order activities vendors ensure services delivered promptly time meet customers expectationsinterface internal external parties ensure daily operations smoothly executedmanage verify network database eg shift implementationmanage work quality vendors site survey new transmission equipment integrationdevelop software tools processes implement new automatic scripts applicationscarry code development enhancement optimizationassist team leader manage daily work order activities urgent escalated mattersmanage resources operating expenses assigned projects qualifications appropriate qualification electrical computer engineering telecommunication equivalentrelevant experiences telecommunication network engineering industry advantageous necessarypossesses good telecommunication network knowledge skills ip routers switches sdhdwdm transmission fiber optic network technologiespossesses knowledge carrier ethernet tcpipdemonstrated abilities carry technical fault analysis project management system testing problem solvingcertification ccna ccnp advantageousknowledge sdn preferredfamiliar ms office,19-Sep-2023,Carrier Ethernet:Code Design:Ethernet:Fault Analysis:Internet Protocol (IP):Internet Protocol Suite (TCP/IP):Migration Projects:Optical Transport Network (OTN):System Testing:Transmission Control Protocol (TCP),"Cisco Certified Network Associate,Project Management Software,Planning,Project Management,Software Defined Networking (SDN),Electric Power Transmission,Interoperability,Cisco Certified Network Professional,Operating Expense,Telecommunications Networks,Computer Engineering,Operations,Telecommunications,Automation,Wavelength-Division Multiplexing,Work Order,Microsoft Access,Microsoft Office,Workflow Management,Network Switches","Cisco Certified Network Associate,Project Management Software,Planning,Software Defined Networking (SDN),Electric Power Transmission,Interoperability,Cisco Certified Network Professional,Operating Expense,Telecommunications Networks,Computer Engineering,Operations,Telecommunications,Automation,Wavelength-Division Multiplexing,Work Order,Microsoft Access,Microsoft Office,Network Switches","Project Management,Workflow Management"
420,420,Network Infrastructure Engineer #catalystWSP,3660357631,Singtel,"Singapore, Singapore (On-site)",53,Entry level,Full-time,Information Technology,Telecommunications,singtel mission empower every generation dedicated fostering equitable forwardthinking work environment employees experience strong sense belonging make meaningful impact grow personally professionally joining singtel part caring inclusive diverse workforce creates positive impact sustainable future singtel x singapore institute technology embarked workstudy programme wsp launched feb wsp called “the catalyst programme” structured onthejob ojt development wsp allows polytechnic diploma holders secure fulltime position singtel pursuing university honours degree applied computing programme open singtel’s internal employees well external polytechnic diploma holders preferably ict domain nonict diploma holders encouraged apply well line building capability singapore ict sector program develop groom talent year period completing microcredentials module eventually stackup honours degree applied computing candidates offered specific role one shared ready challenge successful candidate join team network infrastructure engineer providing first second level operations support corporate ip infrastructure candidate play vital role monitoring managing faults ensuring smooth operation network gain handson experience working cuttingedge network infrastructure projects involving hardware software network management systems toptier telecommunications environment learn develop skills virtualization containerization technologies vmware virtual box well scripting languages like shell scripts perl python expand knowledge network security design concepts products including firewall ips web app firewall identity management single signon vpn encryptionpki network security risks compensating controls learn monitor maintain network performance effectively including troubleshooting resolving faults issues within mpls vpn network services acquire skill preparing statistical reports analyze network equipment performance providing insights areas improvement supporting datadriven decisionmaking requirements completed diploma reputable polytechnic year less work experience candidates work experience also encourage apply,16-Sep-2023,MPLS VPN:Network Performance:Network Services:Single Sign-On (SSO):Troubleshooting:Virtual Private Network (VPN),"Firewall,Perl (Programming Language),Statistical Reporting,Virtual Private Networks (VPN),Python (Programming Language),Network Monitoring,Virtualization,Single Sign-On (SSO),Network Security,VMware Virtualization,Network Infrastructure,Operations Support Systems,Network Performance Management,Networking Hardware,Containerization,Scripting,Network Security Design,Identity And Access Management,Shell Script,MPLS VPN,Telecommunications,Information And Communications Technology,Troubleshooting (Problem Solving)","Firewall,Perl (Programming Language),Statistical Reporting,Virtual Private Networks (VPN),Python (Programming Language),Network Monitoring,Virtualization,Single Sign-On (SSO),Network Security,VMware Virtualization,Network Infrastructure,Operations Support Systems,Network Performance Management,Networking Hardware,Containerization,Scripting,Network Security Design,Identity And Access Management,Shell Script,MPLS VPN,Telecommunications,Information And Communications Technology",Troubleshooting (Problem Solving)
421,421,Lead Infrastructure Engineer-Cloud Network Engineer,3727672781,Resource Solutions,"Singapore, Singapore (On-site)",26,Associate,Full-time,Finance,Banking,role lead infrastructure engineer cloud network engineerlocation singapore opportunity overview resource solutions exciting opportunity lead business analyst join client permanent role clientour client global financial services group integrated network spanning countries regions connecting markets east west serve needs individuals institutions corporates governments three business divisions retail wholesale global markets investment banking investment management role overviewthe role cloud network engineer global infrastructure group responsible definition strategy delivery global solutions across networking domain thesuccessful candidate vital role shaping future strategy direction within organization must possess relevant experience across enterprise cloud networkingtechnology role principal accountabilitiesdefine strategy across aspects networking domain supporting adoption hybrid cloud platform providing service design enhancements improve automation efficiencydefine standards adoption public cloud technology provide input nomuras hybrid cloud architecture roadmapsaware industry trends direction defining future state enterprise networkdesign development solutions automate delivery core networking components peripheralswork closely global engineering counterparts deliver consistent stable scalable network solutions skills experience requiredstrong analytical skills solid understanding critical production support processesproven track record engineering vision infrastructure system architecturedemonstrate ability work well part global team requiredgood communication skillsenthusiastic eager personableability cope well pressure essentialexperienced network engineer qualified ccnp level aboveadvanced level knowledge routing switchingexperience vpn solutions ie cisco asafirepoweranyconnectsoftware defined solutions network virtualisation eg cisco aci vxlanknowledge working firewalling technologies fortinet juniperknowledge load balancers eg f aviexperience cisco identity services engine ise radiustacacsnacexperience configuration management tools ansiblepythonproficient level knowledge networking design documentation hldlld desirableawareness common management tools nagios thousandeyes prometheus elasticsearch splunkexperience use tools traffic analysis tools corvilexperience public cloud solutions aws azure client keen ensure singaporean core maintained business light singapore’s compass framework require applicants indicate right work singapore information compass found momgovsg eligibility employment pass please note contacted shortlisted continuously hiring clients region retain cv database positions may fit profile wish profile maintained database please contact us,25-Sep-2023,Amazon Web Services (AWS):Cloud Computing:Communication:Global Teams:High-Level Design:Job Skills:Knowledge Acquisition:Low-Level Design:Networking:Packet Switching,"Traffic Analysis,Nagios,Identity Services Engine,Microsoft Azure,Analytical Skills,Virtual Private Networks (VPN),Network Engineering,Communications,Fortinet,Hybrid Cloud Computing,Scalability,Elasticsearch,Cisco Certified Network Professional,Configuration Management,Public Cloud,Financial Services,Service Design,Investment Management,Global Marketing,Investment Banking,Network Routing,Amazon Web Services,Wholesaling,Prometheus (Software),Management,Automation","Traffic Analysis,Nagios,Identity Services Engine,Microsoft Azure,Analytical Skills,Virtual Private Networks (VPN),Network Engineering,Fortinet,Hybrid Cloud Computing,Scalability,Elasticsearch,Cisco Certified Network Professional,Public Cloud,Financial Services,Service Design,Global Marketing,Investment Banking,Network Routing,Amazon Web Services,Wholesaling,Prometheus (Software),Automation","Communications,Configuration Management,Investment Management,Management"
422,422,Senior Network Engineer (Implementation),3726264008,Lenovo PCCW Solutions,"Singapore, Singapore (On-site)",80,Executive,Contract,Information Technology,IT Services and IT Consulting,new headcount project implementation min years experience working network engineerexperience working network administrator network engineer network analyst switching firewalls nacexperience ciscoalcatel switches cisco routing palo alto checkpoint fortigate asa juniper net screensrx firewalls cisco isearuba nacpreferable candidates graduated engineering science diploma computer networking aboveccna mandatory firewall nac certification added advantage,28-Sep-2023,Checkpoint:Cisco Routers:Cisco Systems Products:Firewalls:Fortinet:Juniper Networks Products:Network Administration:Network Engineering:Network Security:Network Switches:Palo Alto Networks,"Firewall,Network Engineering,Network Access Control,Juniper Network Technologies,Computer Networks,Network Analysis,Project Implementation,Network Administration,Network Routing,Network Switches","Firewall,Network Engineering,Network Access Control,Juniper Network Technologies,Computer Networks,Network Analysis,Project Implementation,Network Administration,Network Routing,Network Switches",
423,423,"Network Implementation Engineer (High Performance Computing), Physical Network Infrastructure",3676622798,ByteDance,Singapore,40,Mid-Senior level,Full-time,Design:Information Technology:Engineering,"Technology, Information and Internet",responsibilities bytedance founded bytedances mission inspire creativity enrich life suite dozen products including tiktok helo resso well platforms specific china market including toutiao douyin xigua bytedance made easier fun people connect consume create content join us bytedance people humble intelligent compassionate creative create inspire us millions users across products lead curiosity aim highest never shying away taking calculated risks embracing ambiguity comes opportunities limitless dare pursue bold ideas exist beyond boundary possibility join us make impact happen career bytedance team bytedance networking brings together innovative ideas technologies network architecture softwaredefined networking sdn network virtualization switch software hardware codesign highspeed networking create hyperscale datacenter networking solutions power several popular apps world douyin tiktok serve hundreds millions users around globe bytedance networking responsible designing building operating global intelligent network infrastructure meet requirements high availability scalability highperformance joining team gain marketable software development andor network operation experiences data center networking massive scale responsibilities responsible design implementation operation bytedances global high performance computing hpc networks work crossfunctional teams including limited machine learning ml compute storage driving innovation evolution hpc network work closely external vendors explore stateofart architecture nextgen technology build software tools improve reliability availability hpc network infrastructure ensuring reliability bytedance global network participating oncall rotation qualifications bachelors computer science information science engineering mathematics related field experience equivalent bachelors degree expertise hpc network topologies like rdma converged ethernet roce infiniband ib good understanding network protocols including tcpip dhcp bgp ospfisis mpls related technologies experience building hpc networks selfdriven possess good communication written skills bytedance committed creating inclusive space employees valued skills experiences unique perspectives platform connects people across globe workplace bytedance mission inspire creativity enrich life achieve goal committed celebrating diverse voices creating environment reflects many communities reach passionate hope,29-Sep-2023,Border Gateway Protocol (BGP):Communication:Communication Protocols:Dynamic Host Configuration Protocol (DHCP):IS-IS:Internet Protocol Suite (TCP/IP):Networking:Open Shortest Path First (OSPF):Scalability:Software Defined Networking,"InfiniBand,Curiosity,Multiprotocol Label Switching,Network Protocols,Software Defined Networking (SDN),TCP/IP,Communications,Compassion,Intelligent Networks,Mathematics,Network Virtualization,Network Infrastructure,Border Gateway Protocol,Network Topology,Content Creation,Dynamic Host Configuration Protocol (DHCP),Remote Direct Memory Access,TikTok,Machine Learning,Scalability,Computer Science,Network Architecture,Creativity,Innovation,High Performance Computing,Data Centers,Software Development,Reliability,Ethernet","InfiniBand,Curiosity,Multiprotocol Label Switching,Network Protocols,Software Defined Networking (SDN),TCP/IP,Compassion,Intelligent Networks,Mathematics,Network Virtualization,Network Infrastructure,Border Gateway Protocol,Network Topology,Content Creation,Dynamic Host Configuration Protocol (DHCP),Remote Direct Memory Access,TikTok,Machine Learning,Scalability,Computer Science,Network Architecture,Creativity,Innovation,High Performance Computing,Data Centers,Software Development,Reliability,Ethernet",Communications
424,424,Senior Network Engineer,3640731784,Airwallex,Singapore (Hybrid),104,Mid-Senior level,Full-time,Management:Product Management,"Financial Services:Banking:Technology, Information and Internet",airwallex leading financial technology platform modern businesses growing beyond borders one world’s powerful payments banking infrastructure technology empowers businesses sizes accept payments move money globally simplify financial operations one single platform established purpose connect entrepreneurs business builders makers creators opportunities every corner world today airwallex global footprint across asiapacific europe north america responsibilities plan build ensure network environment companys financial infrastructure cross connect idc public cloud networks build global highperformance network formulate implement cyber security strategies meet compliance audit requirements deploy network monitoring systems discover network faults manage secure hardware devices switches routers hsms etcqualifications five years experience enterpriselevel network planning managementbachelor degree computer science networking related majorsfamiliar switching routing firewall configuration mainstream equipment proficient bgp ipsec mplsfamiliar public cloud network interconnection configuration aws google cloudfamiliar least one programming language golang pythonstrong ability analyze solve problems independentlybonushave cciejncie certificatefamiliar equinixmegaportfamiliar terraformansibleargocdhelm airwallex you’ll ability make impact rapidly growing global fintech want share success you’ll offered competitive salary plus valuable equity within airwallex also like ensure create best environment people providing collaborative open office space fully stocked kitchen organise regular team building events give people freedom creative airwallex proud equal opportunity employer value diversity anyone seeking employment airwallex considered based merit qualifications competence talent don’t regard colour religion race national origin sexual orientation ancestry citizenship sex marital family status disability gender legally protected status disability special need requires accommodation please let us know airwallex accept unsolicited resumes search firmsrecruiters airwallex pay fees search firmsrecruiters candidate submitted search firmrecruiter unless agreement entered respect specific open positions search firmsrecruiters submitting resumes airwallex unsolicited basis shall deemed accept condition regardless provision contrary,17-Sep-2023,Border Gateway Protocol (BGP):Cybersecurity:Firewalls:Go (Programming Language):IPSec:Multiprotocol Label Switching (MPLS):Network Design:Packet Switching,"Firewall,Apache OpenOffice,Planning,Financial Technology (FinTech),Cyber Security Strategy,Network Monitoring,Internet Protocol Security (IP SEC),Border Gateway Protocol,Go (Programming Language),Public Cloud,Computer Science,Quality Auditing,Network Routing,Team Building,Operations,Network Switches","Firewall,Apache OpenOffice,Planning,Financial Technology (FinTech),Cyber Security Strategy,Network Monitoring,Internet Protocol Security (IP SEC),Border Gateway Protocol,Go (Programming Language),Public Cloud,Computer Science,Quality Auditing,Network Routing,Operations,Network Switches",Team Building
425,425,Senior Network Service Engineer,3723073545,"IPC Systems, Inc.",Singapore (Remote),27,Mid-Senior level,Full-time,Information Technology,IT System Custom Software Development,ipc fintech company focuses human element global presence support local markets cutting edge cloudbased trading communications managed connectivity portfolio communications connectivity solutions focus solving business challenges adapting regulatory changes fastpaced global financial markets enables clients maintain consistent market access strong competitive advantage enhanced operational efficiency ipc committed attracting nurturing promoting diverse talent across workforce fostering sense belonging within employee family dont accept differences one core values recognize diverse teams make strongest teams encourage people backgrounds apply come part new team delivers groundbreaking products clients wwwipccom job responsibilities assist leader execution well individual contributor engineering network build operate maintain bom core network infrastructure networks products services singapore southeast asia sea covering malaysia thailand indonesia india vietnamserve technicalengineering resource working project deliverycoordinator engage customer ipc order delivery ensuring engineering service fulfilment execution consistent high standard quality expected throughout lifecycle process meet delivery timelinepartner technical engineering team integrate expand enhance ipc evolving core infrastructure address inefficiencies product service customer setup provide best class service customerprovide technical consultation relating operations ipc sales customer solution team customer design requirement alignment ipc product services offeringwork cross functional teams internal external manage dependencies ie carrier link rd party contractorspartnervendors relating installation deployment ipc managed components customer premisework customer conduct service test activation resolve technical interconnection issues enable service successversed ipc product service translate compliant network design specification implementation build document build information onto electronic documentation tool ie metasolv customer service design complete process necessary service handoverassist leader team developmentselfdevelopment transfer technical knowledgecall – respond hour call support regarding service escalation emergencies job requirements university degree equivalent experience network engineering minimum years’ experience technology environmentnetwork professional certification ccnpccie equivalent desirableexperience telecommunication field extensive knowledge wide portfolio technology products across ipmpls sip sdh optical dwdm tdm platformsworking experience voice technologies sip voip ribbon session border controller including sip trunking genband voip monitoringexcellent communication skills ability key player working together highly motivated team support businessability work individual contributor team player role require interact working closely cross functional teams internal external meet delivery objectivesleadership resourceful good initiative resolving complex issues relating role supportabsolute proactive approach network design forethought planningexcellent organizational skills able work independentlyoracle metasolv experience desirablestrong attention detail followthrough required,20-Sep-2023,Attention to Detail:DWDM:Network Engineering:Session Border Controller:Session Initiation Protocol (SIP):Synchronous Digital Hierarchy (SDH):TDM:Team Motivation:Technical Consultation:Trunking,"Self-Motivation,Operational Efficiency,Session Initiation Protocols,Network Planning And Design,Financial Market,Resourcefulness,Financial Technology (FinTech),Technical Engineering,Network Engineering,SIP Trunking,Network Infrastructure,Organizational Skills,Order Delivery,Sales,Operations,Customer Service,Communications,Telecommunications,Wavelength-Division Multiplexing","Self-Motivation,Operational Efficiency,Session Initiation Protocols,Network Planning And Design,Financial Market,Resourcefulness,Financial Technology (FinTech),Technical Engineering,Network Engineering,SIP Trunking,Network Infrastructure,Organizational Skills,Order Delivery,Sales,Operations,Customer Service,Telecommunications,Wavelength-Division Multiplexing",Communications
426,426,"Network Engineer, Digital Bank",3691143362,Sea,"Singapore, Singapore (On-site)",112,Entry level,Full-time,Information Technology,"Technology, Information and Internet",job description analyze requirements perform network solutioning planning installation setup network systemsplan engineer monitor security arrangements protection network environmentconfigure operate maintain network devices firewalls using industrial standard criteriareview new solutions improve resilience current network environmentprovide network operation support problem isolation troubleshooting network incidents requirements technical behavioral requirements strong foundation network knowledgeexperience designing network architecture network servicesexperience network firewall network security systemexperience python ansible shell bash scripting plusstrong troubleshooting analytical skillsmay required provide oncall support passion technology driven willingness learn fluid fastpaced environmentgood interpersonal communication skills interact effectively levels experience qualifications requirement bachelor’s degree higher computer sciences information technology related field preferredminimum years relevant experience operating similar role preferably banking industrycisco huawei certificationfirewall certification plus,26-Sep-2023,Defining Requirements:Firewalls:On-call Support:Show Calling:Troubleshooting,"Planning,Bash (Scripting Language),Python (Programming Language),Resilience,Firewall,Network Security,Ansible,Interpersonal Communications,Network Troubleshooting,Network Architecture,Information Technology,Computer Science,Troubleshooting (Problem Solving)","Planning,Bash (Scripting Language),Python (Programming Language),Resilience,Firewall,Network Security,Ansible,Interpersonal Communications,Network Troubleshooting,Network Architecture,Information Technology,Computer Science",Troubleshooting (Problem Solving)
427,427,Network Engineer (Physical Network Infrastructure) - 2024 Start,3677246715,ByteDance,Singapore,89,Entry level,Full-time,Design:Information Technology:Engineering,"Technology, Information and Internet",responsibilities bytedance prioritizing applicants current right work singapore require bytedances sponsorship visa founded bytedances mission inspire creativity enrich life suite dozen products including tiktok helo resso well platforms specific china market including toutiao douyin xigua bytedance made easier fun people connect consume create content join us bytedance people humble intelligent compassionate creative create inspire us millions users across products lead curiosity aim highest never shying away taking calculated risks embracing ambiguity comes opportunities limitless dare pursue bold ideas exist beyond boundary possibility join us make impact happen career bytedance team network engineering team network engineering team responsible designing building operating global intelligent network infrastructure meet high availability scalability highperformance requirements joining team gain marketable software development andor network operation experiences data center networking massive scale looking talented individuals join us future position graduate get unparalleled opportunities kickstart career pursue bold ideas explore limitless growth opportunities cocreate future driven inspiration bytedance candidates apply maximum two positions considered jobs order apply application limit applicable bytedance affiliates jobs globally applications reviewed rolling basis encourage apply early network engineer responsible following responsibilities design build operate optimize bytedances global network including backbone data center public cloud edgecdn work crossfunctional teams including limited compute storage database recommendation system drive innovation evolution bytedances network work external vendors isps device carrier selection perform testing verification qualifications final year recent graduate background software development computer science computer engineering related technical discipline passion networking willing learn good network knowledge osi tcpip model preferred basic understanding routing protocols ospf isis bgp preferred basic understanding network monitoring protocols snmp sflownetflow telemetry preferred basic understanding network devices work switches routers preferred basic understanding usage network related linux system tcpdump mtr etc selfmotivated good communication writing skills good team player good handson experience major network devices arista cisco juniper huawei etc plus codingscripting skill plus bytedance committed creating inclusive space employees valued skills experiences unique perspectives platform connects people across globe workplace bytedance mission inspire creativity enrich life achieve goal committed celebrating diverse voices creating environment reflects many communities reach passionate hope submitting application role accept agree global applicant privacy policy may accessed questions please reach us,09-Sep-2023,Border Gateway Protocol (BGP):IS-IS:Internet Protocol Suite (TCP/IP):Network Monitoring Tools:OSI Model:Open Shortest Path First (OSPF):Routing Protocols:SNMP:Voice over IP (VoIP):sFlow,"Recommender Systems,Curiosity,Multitopology Routing Configuration,Tcpdump,Network Engineering,Linux,TCP/IP,Communications,Compassion,Intelligent Networks,Network Monitoring,Juniper Network Technologies,Border Gateway Protocol,Simple Network Management Protocols,Routing Protocols,Content Creation,Open Shortest Path First (OSPF),Open Systems Interconnection,Public Cloud,Computer Engineering,TikTok,Scalability,Computer Science,Creativity,Software Development,Innovation,Telemetry,Network Switches","Recommender Systems,Curiosity,Multitopology Routing Configuration,Tcpdump,Network Engineering,Linux,TCP/IP,Compassion,Intelligent Networks,Network Monitoring,Juniper Network Technologies,Border Gateway Protocol,Simple Network Management Protocols,Routing Protocols,Content Creation,Open Shortest Path First (OSPF),Open Systems Interconnection,Public Cloud,Computer Engineering,TikTok,Scalability,Computer Science,Creativity,Software Development,Innovation,Telemetry,Network Switches",Communications
428,428,Information Technology Engineer,3725530336,ST Engineering,"Singapore, Singapore (On-site)",69,Executive,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage",responsibilitiesmanage maintain cybersecurity requirements companytroubleshoot operations system issues including pc hardware networksupport implementation new systems system changeswork different stakeholders including equipment suppliers systems’ hardware software mattersmonitor liaise corporate group policy changes ensure implementation across various systemsaid customers’ requests reportsinvolve disaster recovery exercises various systemsperform related duties assigned managementstandby support saturdaysimplement changes systems office hours including sundays required requirementsminimum diploma computer scienceengineering information technology related fieldsminimum years working experience area field engineer system supportadministrator knowledge programming debugging sql database language queryproficient visual studio net framework using vbnet crystal reports advantageproficient microsoft office windows serverknowledge aws cloud advantagepossess good attitude time management coordination skills well strong communication interpersonal skills ability learn newlatest technologiesable work well independently team environment,27-Sep-2023,.NET Framework:Amazon Web Services (AWS):Crystal Reports:Databases:Microsoft Office:Office 365:SQL:Visual Basic .NET (VB.NET):Visual Studio:Windows Server,"Debugging,.NET Framework,Crystal Reports (Reporting Software),Microsoft Visual Studio,Interpersonal Communications,Operating Systems,Communications,SQL (Programming Language),Cyber Security,Group Policy,Microsoft Office,Disaster Recovery,Amazon Web Services,Time Management,Information Technology,Coordinating,Computer Hardware","Debugging,.NET Framework,Crystal Reports (Reporting Software),Microsoft Visual Studio,Interpersonal Communications,Operating Systems,SQL (Programming Language),Cyber Security,Group Policy,Microsoft Office,Disaster Recovery,Amazon Web Services,Information Technology,Coordinating,Computer Hardware","Communications,Time Management"
429,429,Network Engineer,3703899663,Warner Bros. Discovery,"Singapore, Singapore (On-site)",239,Entry level,Full-time,Information Technology,Entertainment Providers,every great story new beginning starts welcome warner bros discovery… stuff dreams made are… say “the stuff dreams made of” we’re referring world wizards dragons superheroes even wonders planet earth behind wbd’s vast portfolio iconic content beloved brands storytellers bringing characters life creators bringing living rooms dreamers creating what’s next… brilliant creatives technology trailblazers across globe wbd offers career defining opportunities thoughtfully curated benefits tools explore grow best selves supported celebrated thrive reporting infrastructure manager apac west network engineer role part apac technology operations team also aligned offshore global technology network platform team based singapore network engineer role apac focused sites across region new zealand india responsible day day operations across region including limited support maintenance monitoring activity delivering project related outcomes build design network assets services capacity planning procurement tasks part technology operations also work closely peers infrastructure security broadcast operations support teams deliver business solutions across apac region key responsibilities effectively support apac network infrastructure responding resolving trouble tickets within stipulated sla timediagnose resolve network outages take remediation steps identify root cause mitigate future recurrencesmonitor network capacity recommend implement enhancements meet new changing network demandsprioritise workload based business criticalities flexible work ad hoc tasks assigned managertroubleshoot network problems outages schedule equipment code upgradesproject workfully understand adhere global network platform team’s standards procedures technical functional areascapture business requirements multiple sources translate effective recommendations solutionsplan design network architecture services meet requirements apac region remain aligned global standardsassist delivery network components services technology projects within apac ensuring project remains track providing technical operational updates stakeholdersdefine document enforce system standardsdesign configure network configurations test implement productionizecompile router switch firewall config test implementmaintain positive relationships user communities peers stakeholders management teamuphold company values expected behaviours undertakings related employmentthe employee shall ensure familiar employers policies procedures modifications policies procedures may introduced time timecarry work safely without endangering causing harm fellow staff members contractors customers visitors general publicother duties requiredthe company may fair reasonable consultation change duties time time commercial reasons substantially change nature positioncontributor incident problem change management processesescalate complex issues work offshore peers resolve issues return services operation timely mannerwrite procedures reports tasks impact analysis support documentation systems management qualities required network design implementationnetwork troubleshootingproject management experiencetimemanagement skillsstrong documentation skillslan wan knowledgenetwork hardware configurationnetwork performance tuningbachelor’s degree computer science information technology information systems similarintermediate level experience network administration enterprise production environmentstrong skills network protocols standards policiesexperienced essential aspects change management process including cmdb entry submitting chg requests managing communicationenterprise experience working multicast network broadcast media experience preferredadvanced skills either juniper ciscoarista platformsstrong skills palo alto preferred firewall platformsstrong team member selfmotivation desires improve infrastructureexperience operating business grade wifi networkexcellent troubleshooting analytical problemsolving skillsable perform multiple tasks simultaneously prioritise selfstrong consistent customer service communication skillswillingness work flexible schedule network cabling installation troubleshooting experience experience common testing toolsexperience compiling network drawings familiarity lucidchartvisiosound knowledge information security concepts compliancea team player keen adapt learn maintain existing platform standards get things done… last bit probably important wbd guiding principles core values operate central get things done find wwwwbdcomguidingprinciples along insights team mean show day day hope resonate look forward discussing interview legal bits… warner bros discovery embraces opportunity build workforce reflects diversity society world around us equal opportunity employer means take seriously responsibility consider qualified candidates basis merit regardless sex gender identity ethnicity age sexual orientation religion belief marital status pregnancy parenthood disability category protected law you’re qualified candidate disability need reasonable accommodation order apply position please contact us,15-Sep-2023,CMDB:Cabling:Firewalls:Network Administration,"Firewall,Infrastructure Security,System Administration,Network Administration,Multicasting,Network Planning And Design,Network Performance Management,Network Engineering,Network Protocols,Networking Cables,Change Management,Communications,Configuration Management Databases,Network Infrastructure,Problem Solving,Juniper Network Technologies,Business Requirements,Broadcast Operations,Wide Area Networks,Computer Science,Network Architecture,Information Technology,Operations,Information Systems,Management,Troubleshooting (Problem Solving),Customer Service,IT Capacity Management,Procurement","Firewall,Infrastructure Security,System Administration,Network Administration,Multicasting,Network Planning And Design,Network Performance Management,Network Engineering,Network Protocols,Networking Cables,Configuration Management Databases,Network Infrastructure,Juniper Network Technologies,Business Requirements,Broadcast Operations,Wide Area Networks,Computer Science,Network Architecture,Information Technology,Operations,Information Systems,Customer Service,Procurement","Change Management,Communications,Problem Solving,Management,Troubleshooting (Problem Solving),IT Capacity Management"
