,Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills,Extracted Skills
430,"Senior End User IT Engineer, End User Services – IT Engineering & Solutions",3604034522,OCBC,Singapore (On-site),109,,Full-time,Engineering:Information Technology,Banking:Capital Markets:Financial Services,description development scripted procedures automation daytoday common executed tasks end user services endpoint management operations largescale enterprise environmentdevelop service dashboards monitor detect remediate endpoint health risk issues nac posture patch versions related security compliance gapsanalyse usability security thirdparty software perform security scanning functional tests make sure software safe introduced environmentdevelop solutions integrate various platformsapplications via api managing endpoint security compliance risks onboarding provisioning endpoints selfremediation endpoint issues etcconfigure endpoint security policies cyberark epmparticipate eus projects including base release image upgrades office collaboration suite endpoint os optimisation implementation virtual desktop environmentdevelop processes cloud migration configure intune conditional access compliance policies better endpoint protectionproactively engage internal business stakeholders identify opportunities improve digital workspace overall endpoint security postureaddress audit findings refining existing processes andor endpoint compliance policiesjob qualifications requirements bachelor’s degree minimum years’ experience end user computing desktop engineering role within banking fi industryhighly skilled automated deployments infrastructure code using tools like ansible sccb puppet also experience c net programming powershell scripting command line integration invoking rest api using postman mandatoryhandson experience latest sccm technology eg osd patch management reporting application deployment etchandson experience microsoft intune azure active directory microsoft defender endpointsexperience macos jamf bash scriptingexperience developing reporting dashboard hardware asset managementstrong diverse technical skills especially areas related end user computing including windowsmac os office videovoice conferencing telephony mdm intune sccm application packaging gposknowledge related infrastructure domains windows ad messaging hci enterprise wireless network etcadded advantage possessed knowledge endpoint security management group policies security controls experience implementing managing endpoint security products mcafee microsoft security suiteknowledge cyber security cloud computing risk management windowsmacos vulnerabilities mitigationsexcellent communication interpersonal presentation skillsexcellent analytical problemsolving skill proven ability work well technically challenging multitasking environmentpossess creativity ingenuity willingness challenge status quopossess cissp certificationa team oriented team player primary location singapore job application services organization group operations technology division schedule permanent fulltime job posting aug,22-Sep-2023,CLI:Certification Testing:Defining Requirements:End User Training:Information Security:McAfee:Microsoft Security:Postman API:Security Compliance:Security Policy,"Ingenuity,Cloud Computing,Compliance Risk,Application Services,Virtual Desktops,Cyber Security,Endpoint Security,RESTful API,Jamf,Communications,Windows Defender,Security Controls,Application Programming Interface (API),Application Deployment,Ansible,Problem Solving,Multitasking,Mac OS,Azure Active Directory,Endpoint Management,Microsoft Intune (Mobile Device Management Software),CyberArk,Certified Information Systems Security Professional,Microsoft Security Essentials,Scripting,Command-Line Interface,Cloud Migration,Group Policy,Team Oriented,Wireless Networks,Patch Management,Bash (Scripting Language),Windows PowerShell,Risk Management,Postman API Platform,Application Packaging,Creativity,Dashboard,Operations,Network Access Control,Management,Mobile Device Management,Puppet (Configuration Management Tool),Automation,Usability,Operating Systems,Vulnerability,Auditing"
431,Cloud Infrastructure Engineer,3665278689,GovTech Singapore,"Singapore, Singapore (On-site)",129,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,role government technology agency govtech lead agency driving singapore’s smart nation initiatives public sector digital transformation centre excellence infocomm technology smart systems ict ss govtech develops singapore government’s capabilities data science artificial intelligence application development smart city technology digital infrastructure cybersecurity govtech offer purposeful career make lives better empower people master craft continuous robust learning development opportunities year round govtechies embody agile bold collaborative values deliver impactful solutions govtech aims transform delivery government digital services taking outsidein view putting citizens businesses heart everything play part singapore’s vision build smart nation embark meaningful journey build tech public good join us advance mission shape future us today learn govtech techgovsg work government infrastructure group gig responsible providing ict infrastructure whole government rely digitalization effort smart nation initiatives infrastructure layer covers data centers networks cloud endpoints modernization infrastructure related services underway efforts required drive adoption advanced technologies bring greater value country someone strong cloud background passionate technology looking opportunities work team practitioners leading industry experts welcome join gig cloud infrastructure architectengineer tasked lead architect develop cloud infrastructure solutions integration various premise saas solutions knowing wide range technologies term vertical horizontal breadths optimize enhance support applications design deploy scalable highly available solutions also responsible overall technical design pertaining infrastructure elements integration connectivity hosting work help enable government leverage commercial cloud development deployment digital services working serve deep subject matter expert sme development cloud infrastructure solutions includes multihybrid cloud design implementationconstantly explore new solutions technologies integrate learning recommendations development processdemonstrate good expertise major cloud service providers’ products solutionsspecialize best practice design operations support privatepublichybrid cloud infrastructure including network storage compute securityensure proposed design gels aligns application enterprise security architecture well wholeofgovernment policies frameworkcreate architecture artefacts documentation effectively explain architecture design concepts solutions various level stakeholdersrecommend new services complement enhance infrastructure elements streamline support applications development deploymentapply knowledge agile software development devops infrastructure code development deploymentlead continuous enhancement exploratory work design develop test deploy new cloud infrastructure technologies using agile methodsidentify potential emerging technologies relevant innovation governmentproject management cloud infrastructure setup implementation looking bachelor computer science electricalcomputer engineer information technology related disciplinehas minimally years’ experience designingimplementationconsulting largescale privatepublichybrid cloud infrastructure solutionsthe candidate attained professional certifications following areas least years implementation experience awsazuregoogle cloudvmwarepossess handson experience good technical skills proven track records infrastructure andor emerging technologies engineering following area platform storage database virtualization cloud infrastructure iaaspaas container technologies like dockers kubernetes aws ecsknowledge devops techniques agile practices added advantageproficient multitiered architecture design implementationexperience web server technologies including virtualization web services eai knowledge jee soa conceptknowledge clientserver distributed computing knowledge messaging soap net adstrong working knowledge ability apply architecture concepts frameworks methodologies projectsexperienced business technical analysis architecture design project managementability communicate architecture methods concepts standards policiespmp itil togaf certification added advantagegood written verbal communication presentation skills able interact professionally levels organization govtech equal opportunity employer committed fostering inclusive workplace values diverse voices perspectives believe diversity foundation innovation employee benefits based total rewards approach offering holistic marketcompetitive suite perks include leave benefits meet worklife needs employee wellness programmes champion flexible work arrangements subject job role trust manage time deliver best wherever whatever works best learn life inside govtech gogovsggovtechcareers stay connected us social media gogovsgconnectwithgovtech,12-Sep-2023,Amazon Web Services (AWS):Cloud Infrastructure:Hybrid Cloud:Implementation Experience:Infrastructure Solutions:Modernization:Presentation Skills:Presentations:Technical Design:VMware,"Cloud Infrastructure,Digital Transformation,Smart Systems,Agile Methodology,Database Virtualization,Agile Software Development,Application Development,Data Science,Distributed Computing,Technical Design,Network Storage,Kubernetes,Cloud Services,Professionalism,Emerging Technologies,Virtualization,Presentations,Time Management,Enterprise Security,Enterprise Application Integration,Information Technology Infrastructure Library,Verbal Communication Skills,Operations Support Systems,Web Services,Learning Development,TOGAF Certification,Scalability,Cyber Security,Java Enterprise Edition,Software As A Service (SaaS),Cloud Development,Web Servers,Technical Analysis,DevOps,Artificial Intelligence,Application Design,Architectural Design,Computer Science,Information Technology,Amazon Web Services,Management,Service-Oriented Architecture,Data Centers,Innovation,Simple Object Access Protocol (SOAP)"
432,Senior Solution Engineer,3657640329,Recorded Future,Singapore (Hybrid),57,Mid-Senior level,Full-time,Engineering:Information Technology,Computer and Network Security:Software Development,employees sales clients rapid yearoveryear growth recorded future world’s advanced largest intelligence company role senior solution engineer integrations expert working restful api’s belonging recorded future work recorded future siem soar tip integrations tools like splunk anomali palo alto xsoar azure etc consultant advice towards security uses workflows regarding cyber security implementation focus threat intelligence security operations incident response teams days spent working closely team customers ensure effectively using security intelligence integrations well following youll bring senior solution engineer minimum years experience security operations either public private sectors preferably customer facing environment experience managing complex customer solutions like combined siem soar tip solutions onprem cloud deployments ability work collaboratively crossfunctional teams drive customer satisfaction provide customer solutions strong analytical problemsolving skills autodidact towards technology succeed fastpaced environment role highly technical spent time security operations centre’s managed security service provider’s experience using siem tools splunk qradar arcsight similar english language fluency especially regarding writtenverbal communication you’ll senior solution engineer working closely intelligence services teams sales engineering teams understand drive customers cyber security use cases workflows overall needs utilize recorded future integrations scope implement custom solutions across variety client architectures applications tools creating engineering solutions clients act sme clients whilst liaising teams cyber security technology act technical escalation point integration solutions ability articulate complex solutions clients internal senior management good experience python json rest apis ability develop documentation around technical projects utilized clients colleagues system infrastructure log analysis debugging skills problem solving troubleshooting experience security hardware applications nextgeneration firewalls idsips endpoint solutions incident management vulnerability management knowledge tcpip common networking ports protocols traffic flow system administration osi model defenseindepth common security elements knowledge attackvectors security threats mitigation techniques join recorded future recorded future employees “futurists” represent nationalities embody core values high standards practicing inclusion acting ethically dedication empowering clients intelligence disrupt adversaries earned us star user rating gartner top fortune companies clients committed maintaining environment attracts retains talent diverse range experiences backgrounds lifestyles ensuring feel included respected unique bringing whole selves work recorded future made better place every day need accommodation special assistance navigate website complete application please send email request recruiting team recorded future equal opportunity affirmative action employer encourage candidates backgrounds apply recorded future discriminate based race religion color national origin gender including pregnancy sexual orientation gender identity age marital status veteran status disability characteristic protected law recorded future discharge discipline manner discriminate employee applicant employment employee applicant inquired discussed disclosed compensation employee applicant another employee applicant,09-Sep-2023,Customer-Focused Selling:Cyber Threat Intelligence (CTI):IPS:IT Escalation:Incident Management:Incident Response:Networking:Security Operations:Troubleshooting:Vulnerability,"Debugging,Log Analysis,Cyber Threat Intelligence,Customer Service,Traffic Flow,Ethical Standards And Conduct,Vulnerability Management,OSI Models,Microsoft Azure,Incident Response,Cyber Security,TCP/IP,Communications,Splunk,Python (Programming Language),RESTful API,System Administration,ArcSight Enterprise Security Manager,Problem Solving,Security Information And Event Management (SIEM),English Language,Firewall,Incident Management,JSON,IBM QRadar (SIEM Software),Sales Engineering,Intelligence Agency,Management,Sales,Troubleshooting (Problem Solving),Workflow Management"
433,Infrastructure Engineer (Network Automation),3699433255,GovTech Singapore,"Singapore, Singapore (Hybrid)",30,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,role government technology agency govtech aims transform delivery government digital services taking outsidein view putting citizens businesses heart everything also develop smart nation infrastructure applications facilitate collaboration citizens businesses codevelop technologies join us support singapore’s vision building smart nation nation possibilities empowered infocommunications technology related engineering government infrastructure group gig responsible providing ict infrastructure whole government rely digitalization effort smart nation initiatives infrastructure layer covers data centers networks cloud endpoints modernization infrastructure related services underway efforts required drive adoption advanced technologies bring greater value country someone strong infrastructure background passionate technology looking opportunities work team practitioners leading industry experts welcome join gig working ideal candidate would experience operating network infrastructure keen automate network activities simplifying processes automating network changes eg firewalls routing patching firmware upgrade etc avoid human errors reduce turnaround time looking keen learn work network automation ie capturing user requests portal triggering workflow implementing backend changes routers firewalls switches etcknowledge experience following areas aautomation tools ansible algosec tufin etc bproduct development using devops methodology ccicd processes dsource control management tools erest apis design developmentdefine minimum viable product mvp assess value develop use cases prioritize stories epics themes derive maximum value use casesoverseeing stages network automation including prototyping design development testing releases post support including continuous enhancementswork contractors develop review codes eg html javascript json python etc ensure feature releases enhancements welltested ready productionmanage product planning roadmapreleases agile development team set expectation delivery new functionalitiesengage stakeholders eg management agencies internal cross functional teams rationalize business requirements present articulate solution resolve common issue repetitive taskscollaborate external engineering teams create apidriven processes facilitate new functionalities integrationsgood domain knowledge network security technologies eg subnetting routing vpns firewall platforms etcunderstand designsetup typical networks deployment eg lan wan wlan equal opportunity employer value diversity company believe diversity meaningful innovation employee benefits based total rewards approach offering holistic marketcompetitive suite perks includes generous leave benefits meet worklife needs trust get job done wherever whatever works best – work home take break exercise need also believe it’s important keep honing craft constantlyevolving tech landscape provide support plethora inhouse external learning development opportunities year round subject nature job role might require onsite fixed hours,23-Sep-2023,Defining Requirements:Infrastructure as code (IaC):Model-View-Presenter (MVP):Modernization:Network Automation:Product Planning:Product Service:Story:Themes,"Firewall,Application Programming Interface (API),Turnaround Time,Agile Methodology,Network Automation,Development Testing,Python (Programming Language),Network Security,Information Technology Infrastructure Library,Network Infrastructure,Ansible,Business Requirements,Learning Development,Wireless LAN,DevOps,HyperText Markup Language (HTML),Virtual Private Networks (VPN),Product Planning,Subnetwork,Local Area Networks,JSON,Wide Area Networks,JavaScript (Programming Language),Network Routing,Prototyping,Automation,Management,Data Centers,Innovation,Firmware,Workflow Management,Network Switches"
434,"Data Engineer, Quantitative Strategy",3728575493,GovTech Singapore,"Singapore, Singapore (Hybrid)",18,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,government technology agency govtech lead agency driving singapore’s smart nation initiatives public sector digital transformation centre excellence infocomm technology smart systems ict ss govtech develops singapore government’s capabilities data science artificial intelligence application development smart city technology digital infrastructure cybersecurity govtech offer purposeful career make lives better empower people master craft continuous robust learning development opportunities year round govtechies embody agile bold collaborative values deliver impactful solutions govtech aims transform delivery government digital services taking outsidein view putting citizens businesses heart everything play part singapore’s vision build smart nation embark meaningful journey build tech public good join us advance mission shape future us today learn govtech techgovsg seeking data engineer join quantitative strategy team sited one agency data scienceengineering teams data engineer part data team deployed government agency identified strategic partner dsaid mandate drive growth agency’s data capabilities operating close alignment dsaids approach philosophy main role build wholeofgovernment data infrastructure partner agency power insights needed evidencebased decisionmaking enhancing agency’s service delivery role requires individual experience onprem cloudbased data engineering work well good communication skills expected interact frequently partner agencys users elicit useful business information enables perform job working translate data requirements business users data scientists technical specificationscollaborate partner agency’s teams following tasks architect build ingestion pipelines collect clean merge harmonize data different source systemsdaytoday monitoring databases etl systems eg database capacity planning maintenance monitoring performance tuning diagnose issues deploy measures prevent recurrence ensure maximum database uptimeconstruct test update useful reusable data models based data needs end usersdesign build secure mechanisms end users systems access data data warehouseresearch propose develop new technologies processes improve agency data infrastructurecollaborate data stewards establish enforce data governance policies best practices proceduresmaintain data catalogue document data assets metadata lineageimplement data quality checks validation processes ensure data accuracy consistencyimplement enforce data security best practices including access control encryption data masking safeguard sensitive data looking bachelor’s degree preferably computer science software engineering information technology related disciplines deep understanding system design data structure algorithms data modelling data access data storageproficiency writing sql databases postgres mssqldemonstrated ability using cloud technologies aws azure google cloudexperience orchestration frameworks airflow azure data factoryexperience distributed data technologies spark hadoopproficiency programming languages python java scalafamiliarity building using cicd pipelinesfamiliarity devops tools docker git terraform preferred requirements experience architecting data systemsexperience designing building maintaining batch realtime data pipelines experience databricksexperience implementing technical processes enforce data security data quality data governancefamiliarity government systems governments policies relating data governance data management data infrastructure data security,29-Sep-2023,Azure Data Factory:Cyber-security:Data Access:Data Governance:Data Models:Data Quality:Defining Requirements:Metadata:Real-time Data:Technical Specs,"Data Infrastructure,Data Modeling,Digital Transformation,Smart Systems,Microsoft Azure,Performance Tuning,Application Development,Data Science,Data Engineering,Docker (Software),Git (Version Control System),Algorithms,Python (Programming Language),Apache Spark,Terraform,Encryption,Data Quality,Distributed Data Store,Strategic Partnership,Java (Programming Language),Cloud Technologies,Learning Development,Data Structures,Software Engineering,SQL (Programming Language),Cyber Security,Data Masking,Data Pipelines,Amazon Web Services,Metadata,Data Governance,Apache Airflow,DevOps,Extract Transform Load (ETL),Systems Design,Artificial Intelligence,Document-Oriented Databases,PostgreSQL,Data Access,CI/CD,Computer Science,Data Security,Data Management,Information Technology,Information And Communications Technology,Access Controls,Agile Methodology,Communications,Microsoft Access,IT Capacity Management"
435,Senior Network Operations Engineer,3690071090,Logicalis Asia,"Singapore, Singapore (Hybrid)",89,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,choose logicalis architects change logicalis focus design support execute clients digital transformation uniting vision technology expertise industry insights company deep understanding key industry drivers security cloud data management iot address customer priorities revenue growth business operational efficiency innovation risk compliance data governance sustainability strengthen purpose design support execute customers digital transformation converging vision technological expertise knowledge industry brand refresh underpins evolution logicalis’ positioning well strategic vision growth accountabilities understand process practices related gnc support templates standard operating procedurestake lead drive critical incidents team vendors reduce resolution time provide workaround ownership critical incidents customers deliver resolution within sla mentoring guiding engineering team technical grounds security products perform ios upgrades patches fix software ensure environment bugvulnerable free keeping system uptodate software troubleshoot production issues networksecurity problems fix infra related issues work principal vendors customer provide resolution within proposed timelines performing rma hardware failures replacement production environmentperform health checks critical environments ensure systems running standard potential failures setup staging simulation customer activities critical jobs actual tasks production environment working operations centre escalation standby role office hours support monthly rotational basisable follow meet customer sla incidents requests responsible service deliveryundertake escalation enterprise security related matters level engineers perform level onsite remote troubleshooting quick resolutions responsible updating technical documentations changes made engineers andor managed services customers responsible managing vendors partners support matters technical grounds responsible working crossfunction technical teams knowledge share routing scope requests responsible support ticket updates applicable providing timely updates management customer support cases allocated youteam individual experience knowledge itil principles particularly incident change problem service managementminimum years relevant experiences security technologies operations centre tech lead experience working engineers team experience writing incident reports rca reports security network outagesexcellent problem management skills using itsm tools provide solution avoid reoccurrence experienced working vendors customer outage situation provide direction l engineers customer recovering services affectively hands experience operations bau fixing userinfra issues production environment essentialrequired multi product technology knowledge cisco fortinet hpe palo fsound knowledge aruba clearpass nac appliance onguard cisco ise good knowledge cisco firepower fortinet firewalls palo alto checkpoint skills added advantage technical skills f routingswitching preferred wireless technologies troubleshooting fixing user issues experience performing patching aruba cppm cisco ise able perform software patching routingswitchingnxoswirelessfortinetnac production environment nodowntime possible strong understanding enterprise networking solutions vss vpc multicast mpls etc abel perform capture log analysis using wireshark logging tools experience handling customer principal vendors critical situations preferred aruba accp certified ccie certified,22-Sep-2023,Checkpoint:Cisco Systems Products:F5:Fortinet:IT Service Management:Outages:Problem Management:RCA:Service Delivery:Service-Level Agreements (SLA),"Log Analysis,Digital Transformation,Identity Services Engine,Multicasting,Operational Efficiency,Development Environment,Multiprotocol Label Switching,Network Access Control,Managed Services,Aruba ClearPass,Customer Support,Fortinet,Cisco firePOWER,Issue Tracking,Enterprise Security,Problem Management,Strategic Planning,IT Service Management,Aruba (Network Management Software),Information Technology Infrastructure Library,Incident Reporting,Firewall,Aruba Certified ClearPass Professional (ACCP),Remote Troubleshooting,Data Governance,Revenue Growth,Wireshark,Vendor Management,Cisco Certified Internetwork Expert,Network Routing,Mentorship,Operations,Management,Troubleshooting (Problem Solving),Innovation,Data Management,Templates,Internet Of Things (IoT),Apple IOS,Inventory Staging"
436,Wireless Communication Network Engineer,3693936245,DSO National Laboratories,"Singapore, Singapore (On-site)",75,Entry level,Full-time,Information Technology,Defense and Space Manufacturing,responsibilities dso national laboratories dso singapores largest defence research development rd organisation critical mission develop technological solutions sharpen cutting edge singapores national security dso develop career make real impact shape future defence across spectrum air land sea space cyberspace electronic systems division advances electronic warfare systems radio frequency microelectronics technologies provides electromagnetic superiority person conduct research development wireless communication network job require deep expertise wireless digital communication networking theories concepts wireless communication network system design analysis simulation also development actual robust wireless communication network systems perform well adverse electromagnetic conditions person also need keep abreast latest research developments wireless communication network people dso’s greatest asset get realise career aspirations develop niche either deep technical expert leader team frequent career dialogues robust training development framework provide necessary development tools reach potential also recognised rewarded competitive remuneration packages scholarship opportunities wireless communication network engineer role conduct applied research development field wireless communication network design develop robust wireless communication network systems explore cognitive radio network concepts experiment innovative ideas design develop networking techniques algorithms protocols requirements master’s bachelor’s degree electronics engineering electronic electrical engineering electronic communication engineering experience software development c c excellent analytical problemsolving skills broad understanding various wireless communication technologies networking concepts g standards gpp mac layer design network slicing experience machine learning ai wireless communication network advantageous good team player enjoys working technical environment motivated individual passionate wireless communication network technologies,08-Sep-2023,3GPP:C (Programming Language):C++:Communication:Network Design:Network Engineering:Networking:Problem Solving:Software Development:Troubleshooting:Wireless Technologies,"Electronic Engineering,Applied Research,Algorithms,Communications,Electronic Warfare,Telecommunications Networks,Cognitive Radio,Machine Learning,Problem Solving,Electronic Systems,Research And Development,Systems Design,Training And Development,Media Access Controls,TeleCommunications Engineering,Programming Tools,Electrical Engineering,Radio Frequency,Research,Innovation,Microelectronics,Digital Communications,Experimentation"
437,"Network Engineer, APAC",3647304560,JAC Recruitment,"Singapore, Singapore (Hybrid)",114,Entry level,Full-time,Information Technology,Staffing and Recruiting,company overview client major european mnc engineering manufacturing firm looking network engineer join technology team within group functions singapore job responsibilities network engineer key accountabilities design install configure maintain network hardware software monitor troubleshoot network performance analyse network traffic generate reports develop implement maintain network related security policies procedures perform routine maintenance tasks network infrastructure respond resolve l service requests maintain accurate records documentation network configurations changes updates work together core network team research recommend new technologies processes improve system performance work together country leads establish network lifecycle replacement plans assist development disaster recovery plans perform planned yearly tests stay date new networking technologies industry trends best practices provide training local networking topics vendor management – working networking providers vendors handson installation experience network lan wan voip wifi wireless controller wifi access point firewalls security gateways vpn x protocol vlans l switch special duties special site requirements defined system service hardware software duty carried technicians within responsibilities provisioned site working responsibility job requirements bachelor’s degree computer science focus networking certified ccnp level years relevant experience minimum years’ experience responsibilities outlined technical college ccnp required itil foundation qualification must indepth understanding networking computer hardware relate architecture corporate enterprise environment benefits working location singapore apply online feel free contact directly via email information opportunity due high volume applicants regret inform shortlisted candidates notified thank understanding countrysingapore darren ou ea r jac recruitment pte ltd ea lic c,21-Sep-2023,Defining Requirements:ITIL:Network Engineering:Network Infrastructure:Network Performance:Recovery Plans:Routine Maintenance:Security Policy:VLAN:Voice over IP (VoIP),"Vendor Management,Virtual Local Area Network (VLAN),Virtual Private Networks (VPN),Networking Hardware,Network Engineering,ITIL Foundation Certification,Network Infrastructure,Cisco Certified Network Professional,Firewall,Network Troubleshooting,Local Area Networks,Wide Area Networks,Security Policies,Computer Science,Disaster Recovery,Wireless Communications,Computer Hardware,Research,R (Programming Language)"
438,Senior/ Engineer (GPON Transmission/ Access Network),3657839316,StarHub,"Singapore, Singapore (On-site)",173,Mid-Senior level,Full-time,Engineering:Information Technology,Telecommunications,job description purpose plan implement costefficient resilient next generation national broadband networks ngnbn serve starhub commercial residential customers islandwide responsibilities plan schedule network implementation central offices gpongpon access network perform system configuration testing endtoend integration testing interoperability test operators andor customers perform adhoc escalation technical fault troubleshooting source purchase systemstoolsinstallation materials invitation quotations tendering process conduct site surveys mdf room nlt co work vendors nlt site preparation support nc patch orders getting quotations managing contractors conduct periodic capacity planning exercises anticipate demands network bandwidth resources retail service providers rsps consumers develop enhance methodologies tools techniques used planning design ngn architecture cater demands services provided rsps manage project implementation coordination vendors andor crossfunctional team members network implemented time develop implement document procedures processes order ensure network services implemented effective efficient manner liaise internal stakeholders ie product fulfillment field team deploy gpon gpon ae dwdm networks liaise external teams ie building management singapore power vendors deploy ae dwdm networks plan schedule network implementation central offices mdf rooms ae access network dwdm perform firmware scheduling upgrade testing deployment gpon gpon ae dwdm equipment manage execute planned maintenance activities access transmission network elements resolve technical problems participate projects network setup migration upgrade audits perform detailed implementation project planning realise high level plans management organise ngn implementation operation deployment team execute ngn overall network implementation deployment projects routine operations assist manage manpower resources operating expenses provide guidance resolution complex nonroutine issues active passive network deployment ensure design active passive ngn architecture updated cost efficient contract vendors contractors supply services liaise third parties eg building developers regulatory authorities confirm requirements provide updates ensure regulatory compliance qualifications appropriate qualification telecommunication computer electronic engineering least years working experiences telecommunication environmentgood knowledge routers switches gpon dwdmfamiliar bgp ospf rip l switchingable perform rostered standby duties weekend public holidays,19-Sep-2023,Border Gateway Protocol (BGP):DWDM:Electronic Engineering:Gigabit-Capable Passive Optical Network (GPON):Knowledge Acquisition:Network Switches:Next-Generation Network (NGN):Operating Expenses:Project Planning:Routers,"Project Management,Planning,Access Network,Building Management,Scheduling,System Configuration,Electric Power Transmission,Resilience,Integration Testing,Border Gateway Protocol,Regulatory Compliance,Interoperability,Project Planning,Open Shortest Path First (OSPF),Electronic Engineering,Operating Expense,Next-Generation Networks,Contractor Management,Wavelength-Division Multiplexing,Management,Telecommunications,Passive Optical Networks,Capacity Planning,Auditing,Broadband,Coordinating,Operations,Firmware,Troubleshooting (Problem Solving),Network Switches"
439,(Senior) Sales Engineer – South East Asia,3718625474,Eutelsat OneWeb,"Singapore, Singapore (Hybrid)",28,Mid-Senior level,Full-time,Sales:Business Development,Telecommunications,oneweb you’ll get part technology revolution space accelerate career fast paced experiential learning executivelevel exposure work razorsharp colleagues company people come first you’re passionate satellite communications systems business growth you’re agile love rolling sleeves read learn examine full ideas you’re sparked fast pace new challenges possess superb communications skills ability clearly concisely convey information customers senior staff members want make real difference world revolutionizing technology space you’ll sales engineer oneweb play key role business growth working specialist member customer facing sales team understand customer’s business needs match compelling oneweb service solution comprising elements oneweb product services catalogue targeting asiapacific region use broad engineering knowledge consultative techniques ensure distribution partners telco customers provide best possible solutions customers role instrumental revenue growth supporting commercial team drive growth business region role include indepth customer technical support leading technical sales demos influencing market requirements driving sales sales engineers innovative sharp passionate professional enjoy collaborating sales product teams backed engineering teams interacting customers understand service needs communicate back organisation responsibilities include technical presales support promoting oneweb’s products customers distribution partners telcos south east asia region liaise key target customers influence early stages sales cycle qualify prospect shape oneweb’s product service offering use extensive technical knowledge analytical skills address customer questions around capability system performance network integration competitive positioning etc operate technical expert customer solutions engineer oneweb products services wider technologies critical commercial team keep current technology become thought leader trusted consultant customer base region drive communication capabilities oneweb global network prospective customers assist capture evolving market requirements drive product development life cycles part bid team provide logical technically robust commercially persuasive responses formal informal rfps rfis define oversee customer demonstrations including developing demonstrations common customer use cases preservice endto end service trials interface key endusers educate key aspects oneweb’s products services play central role supporting commercial team drive uptake oneweb’s products services increasing revenue prospective existing accounts deliver oneweb service demos project manage solution trials prospect customers takes proven experience providing robust technical advice solutions customers south east asia especially telco mno sector good knowledge endtoend data network solutions traffic management qos network security knowledge network routing network slicing advantage would gpplte systems knowledge strong communication skills ability articulate technical material technical nontechnical audience verbally technical author commercially astute strong negotiation skill proven ability influence customer interactions requirements line wider divisionalcorporate goals creative thinker solution focused we’d love bscbeng relevant technical degree equivalent electricalelectronic engineering telecommunicationscomputer sciences proven experience relevant sales engineering product development position understanding telcos carriers challenges previous experience working telco industry vertical would advantage willing travel internationally cultural awareness ability build regional market knowledge intelligence you’ll singapore oneweb global leader connectivity space building constellation low earth orbit satellites network global gateway stations range user terminals provide affordable fast highbandwidth lowlatency broadband communications services connected iot future pathway g find oneweb treats protection personal data submitted seriously submitting application agree collection retention personal data oneweb acknowledge notice understand terms oneweb’s privacy policy amended time time rd party agencies,12-Sep-2023,Defining Requirements:Knowledge Acquisition:Product Demonstration:Request for Information (RFI):Sales Engineering:Technical Advisory:Technical Sales:Technical Support:Telco:Voice over IP (VoIP),"Communications,Computer Networks,Technical Sales,Project Management,Analytical Skills,Network Quality Of Service (QoS),Influencing Skills,Thought Leadership,Network Routing,Sales Prospecting,Sales Engineering,Network Security,Solutions Focused,Market Requirements Documents,Revenue Growth,Persuasive Communication,Innovation,New Product Development,Broadband,Demonstration Skills,Negotiation,Satellite Communications,Internet Of Things (IoT),Presales,Request For Proposal,Sales,Technical Support,Agile Methodology"
440,"Research Engineer, AI Red Team",3714096722,IMDA,Singapore (Hybrid),25,Entry level,Full-time,Engineering:Information Technology,Government Administration,job description imda spearheading singapore’s drive world leading digital economy want empower companies workforce digital technologies enable singapore leading digital economy globally looking research engineer research emerging risks ai systems including large language models role part labs division focuses prototyping experimenting emerging technologies engenders trust espouse values fairness safety privacy digital technologies passion contribute development fairer safer ai welcome join us journey architect singapore’s digital future working conduct research emerging risks ai systems including methods jailbreak solicit undesirable behaviors large language modelsdevelop proofofconcept tools develop novel techniques evaluate assess ai systems including writing detailed technical documentationwork closely product managers data scientists engineers design develop minimum viable productswrite thought leadership articles including blogs papers research redteaming ai systems educate raise overall competency emerging areas trust technologiestogether team engage global partners researchers stay update latest trends advance singapore’s mindshare domain representing imda various international research forums looking years proven experience one following areas cybersecurity andor trustworthy aiyou experience translating commercialising emerging technologyyou excellent appreciation challenges limitations areas ai robustness ai safety fairnessyou enjoy handson crafty work love prototype rapidly solve unbounded problems,28-Sep-2023,Emerging Technologies,"Thought Leadership,Trustworthiness,Emerging Technologies,Large Language Modeling,Emerging Risk,Cyber Security,Writing,Research,Prototyping,Blogs,Artificial Intelligence"
